text,label
"I had to do a factory reset on my phone and after reinstalling Google Fit, it forgets my activity goal at least 5 times a day. I love the app, and I use it daily, but the Widget and the app are nearly useless for quick use if I have to enter my goal every time I open the app.",Usability
I like this app but the battery drain is shocking absolutely kills my battery.,Performance
I forgot password! How do I change it!! Help,Usability
Would be perfect with real speed (km/h) instead of this dumb pace thing. ?,Usability
It has a right steps,Usability
Suddenly it stopped tracking my run even after manually activating it! Fix it,Performance
"The app had been working fine, yes it was temperamental, requiring a lot of refreshing to get data to sync properly but now it will not receive my measurements from the scale. I have tried everything, uninstalling the scale, the app, unpairing from bluetooth then reinstalling from the bottom up but it still fails to display my data. Epic fail by Withings!!!! Stop just catering for Apple Users, this scale cost me mega bucks I expect it to work as described!",Performance
"Why do you wish to pry into my contact list, camera phone usage? This is a blatant invasion of privacy.",Security
Please have a bit of respect to customers and don't spam our devices with ads.,Usability
Samsung health app is better and easier to use.,Usability
"The app features and dashboard have such potential. But when you click into a specific area you realise it's very poorly designed. The line graphs are HORRENDOUS. For example the weight tracking: The graph here is mostly white space, with a miserable yellow line showing the graph itself. You can only see this month and last (when set to the highest setting i.e. Month) so the whole graph is verging on useless!? The line appearing under the relevant tab (i.e. Trends or Track) is also in yellow so this blends into the graph itself(seriously there is a whole color palette to use!!) Who designed this a six year old? I expect better from a giant like Samsung!!",Usability
"Great, covers everything but not all that user friendly.",Usability
Doesn't sync with my LG Sorts watch,Usability
Doesn't sync with my LG Sorts watch,Performance
I cannot figure out how to get my Smart Body Analyzer information to sync to S Health even though it is mentioned as &quot;possibility&quot; in recent updates. What does that mean? Can it sync or not?,Usability
Works Excellent but take up 2much space.!!!,Performance
Device not rooted but when I open app it says it is and app won't work?,Performance
It doesn't work through a thick hard shell case,Performance
Please make it usable on Android wear!,Usability
...the most recent 'update' (as of July 4th) has rendered the Fit watchface(s) practically unusable on the Sony SW3. Please resolve and I'll happily grant more stars!,Performance
"What is with the ongoing notification? If that isn't removed quickly, I'm uninstalling the app.",Usability
New skin is a step backwards. Who thought making data lines really faint and adding stats that are inaccurate to the point of being wrong was good UX? Much preferred the withings version.,Usability
Detailed information available before is gone leaving me with no way to easily access my daily info,Usability
Not syncing with Discovery App.,Security
Doesn't show steps recorded on devices between iOS and android. Pretty annoying as both sync to the same service.,Usability
It is incompatible with out heart rate meater,Usability
Please remove annoying notification about high-precision tracking. It's useless.,Usability
The last few days it hasn't kept goals for more than a few hours and it erased over a month of weight data. I love this app but all of as sudden it's very hard to use,Usability
Hi Happy birthday wishes to make sure I will have to be a great day and disadvantages of binary options brokers and disadvantages of binary options,Usability
"Why doesn't the enable high accuracy during exercises feature ACTUALLY do that on my Nexus 6p? Sometimes it seems to... Other times, it doesn't. And I have to press that button each time I launch the app for a workout!.... What's going on with this?",Usability
"Wish that it would have logged in all my tracking info from my watch automatically, but it didn't. When it does it gets all five stars.",Performance
Why is the weight graph so retarded? Keep the same scale for god sake!,Usability
Worse by far. Looks like not even maintained,Performance
When I use the app I think it can turn on and my phone turn off,Performance
REALLY laggy on my S7 when paired and connected to a Gear Fit2.,Performance
Can't delete previously downloaded magazines. Can't delete sections. Doomed to have the magazines waste space on my iPad.,Usability
