text,label
Please help me to get s secure app. my mobile is j7 prime but it is not having s secure app,Security
Cool,Usability
"I like this app. But I sit here for 10 solid minutes, trying to get a stress reading, and it never finishes. I don't have the time to wait longer to get a reading.",Usability
I forgot password! How do I change it!! Help,Usability
Cannot find the pulse oximeter on this app,Usability
What happened to being able to enter data manually? Without it the app is useless if you don't have your phone for some reason during a workout.,Usability
Used to be correct in recording steps but after recent update it doesnt count steps on my Note 5,Performance
????? ?????? ?????? ?? ??,Usability
"I truly do enjoy using this app.. I log just about everything but my meals in it. and the new world wide challenges are fun. but what I would love to ask is how the leader of the challenges is able to log in OVER 900,000 steps in just 3 days?",Usability
Happy,Performance
Too many ads but it's a good app,Security
??? ???? ? ?? ????? ?????,Security
Nice. .........,Security
Incompatible with Samsung music and A5 2016,Usability
iit not alowing me to use it,Usability
It's in accurate and it's frustrating to have to sit through video adds immediately before viewing my results.,Usability
I can't understand how to use ?,Usability
Fun app to track my weight. Somewhat confusing to use,Usability
Useless waste of space on my phone that cannot be uninstalled.,Performance
Waste of space doesn't sync well. Uninstalling.,Performance
Not syncing with Discovery App.,Security
Easy,Usability
"I loved the previous version even more. It's great to play the game of making the daily targets, but the new Timeline often takes minutes to display.",Performance
I don't know why people give this a low rating. This app motivated me to workout anf the actice recording showed me an overall view of my activities every day. It also has a motivating quote that changes everyday if you integrate it in the smart bulletin on your LG phone.,Usability
"Totally can't sync v my Steel HR, lousy app.",Usability
Hreat but how to use vision check plz explain,Usability
Scam app just for stealing data,Security
I was biking and it would not let me save it to my log.... I hate it,Usability
Too many ads,Usability
Spyware. Reinstalls itself.,Security
I have an issue with logging!!,Usability
I can't open the app. It tells &quot;Samsung Health can't be opened on a rooted device&quot;. Please help me fix the problem.Tha nks.,Usability
Some time it stops,Performance
Can't enable the app from the application menu. How will I connect my new Samsung smart watch?,Usability
Please help me to get s secure app. my mobile is j7 prime but it is not having s secure app,Security
This app didn't work,Usability
iit not alowing me to use it,Usability
Works perfect in only Samsung phones. I have changed to vivo v7. Doesn't work their,Usability
"Great, covers everything but not all that user friendly.",Usability
I forgot password! How do I change it!! Help,Security
All am asking for is to show what is the stuff we dont understand through videos and pictures,Usability
Scam app just for stealing data,Security
"The app doesn't register certain meals towards the calorie balance. I'm not sure if it's a bug, or I'm doing something wrong.",Usability
The app was great until this last update! Now battery is draining - calorie burner is gone - cycling no longer included in weekly summary - step counter has taken over - etc etc......Bring back last version of App please !,Performance
"I like this app. But I sit here for 10 solid minutes, trying to get a stress reading, and it never finishes. I don't have the time to wait longer to get a reading.",Usability
"I love it!!It's the best app ever! But I can't sign in with my account, I don't know why Anyway 5 stars,amazimg app",Usability
I want to delete this app as I don't use it.... WHY IS THAT NOT POSSIBLE?!,Usability
Not syncing with Discovery App.,Performance
Fun app to track my weight. Somewhat confusing to use,Usability
Audio does not work anymore. How can I reload the old version ?,Performance
Can't use it.,Usability
Can't use it.,Usability
This app is not working in my Samsung Galaxy Alpha I don't know why when I open the app it says update this app and when I tap ok it shows the update is not available kindly tell me what's the issue,Usability
Hreat but how to use vision check plz explain,Usability
It is a great app but it wastes to much storage,Performance
"The app doesn't register certain meals towards the calorie balance. I'm not sure if it's a bug, or I'm doing something wrong.",Usability
It's in accurate and it's frustrating to have to sit through video adds immediately before viewing my results.,Usability
Audio does not work anymore. How can I reload the old version ?,Usability
Too many ads but it's a good app,Security
I deleted it because it doesn't sync to fitbit.,Usability
It is a great app but it wastes to much storage,Performance
Can't use it.,Usability
"Whatever happened to &quot;if it's notbroke, don't fix it&quot;...We don't need all the cutesee cartoon like graphics trying to convey whatever you aren't getting across. I can't even figure out how to set a darn alarm on my watch! Nokia, you have ruined this app.",Usability
"I like this app. But I sit here for 10 solid minutes, trying to get a stress reading, and it never finishes. I don't have the time to wait longer to get a reading.",Usability
I forgot password! How do I change it!! Help,Usability
Too many ads but it's a good app,Usability
Quite good but doesn't always pick up my activities,Usability
Impossible to disable step counter without clearing apps data. Bloatware trash.,Usability
Hreat but how to use vision check plz explain,Usability
Good but sometimes not working,Usability
Good app.. Please give solution also to overcome the trouble,Usability
Good app.. Please give solution also to overcome the trouble,Usability
Too many ads but it's a good app,Usability
I can't understand how to use ?,Usability
Too many ads but it's a good app,Usability
"Well, I like everything about it except for the fact that it doesn't work.",Performance
The app was great until this last update! Now battery is draining - calorie burner is gone - cycling no longer included in weekly summary - step counter has taken over - etc etc......Bring back last version of App please !,Performance
Spyware. Reinstalls itself.,Security
Liked it until today when the search function on the meal entry page stopped working. You should fix that.,Usability
"Hate the newer version.The auto- talking is obnoxious and I can't turn it off. It's like going for a walk with a robot, when all I want is some peace and quiet. Downloaded a different app. This one drove me nuts.",Usability
The weekly summary is EXTREMELY annoying,Usability
I don't need it just takes up space,Usability
I don't need it just takes up space,Usability
I was okay with it until it asked to buy stuff that I didn't need. Deleting.,Usability
I was okay with it until it asked to buy stuff that I didn't need. Deleting.,Usability
"This app is killing my battery. Using more resources than my screen! I have to force stop this app every time I open it to sync, because if I don't, my battery drains! Verizon Moto X 4.4.3",Usability
